location_name,location_index,location_midpoint_lng,location_midpoint_lat,location_comments,survey_start_year,survey_start_month,survey_start_day,survey_end_year,survey_end_month,survey_end_day,survey_time,survey_comments,personnel_list,sponsor_list,document_list,species_common_name,species_abundance,site_use,data_quality,breeding_individuals,total_individuals,count_conversions,best_current_value,status_record_comments,,,,,,,,,,,,,,
Portage Creek,AK Map 35 Site 15,-155.53328,57.78329,,2001,7,31,2001,7,31,1509 to 1540 Alaska Daylight Time.,Surveyed from the M/V Surfbird ~150-175 from base of cliff. Rock cliffs with grass overhangs.,"J. Doster, J.Kohen, Susan Savage <susan_savage@fws.gov>",USFWS,"Doster, J., and S. Savage. August 2002. Population and productivity of seabirds on the Pacific Coast of Becharof National Wildlife Refuge, Alaska Peninsula, Alaska, June-September 2001",Tufted Puffin,Unspecified,Unspecified,Excellent,,6,Literal (equal to census data value),TRUE,"One bird on cliff, 5 birds in water.",,,,,,,,,,,,,,
Procession Rocks,AK Map 63 Site 1,-148.2836,60.00689,,1989,7,7,1989,7,7,,,Kenton Wohl,,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Breeding,Fair,,20,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Procession Rocks,AK Map 63 Site 1,-148.2836,60.00689,,1999,6,11,1999,6,11,,,"Justin Harth, Shawn Stephensen, Kenton Wohl",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Breeding,Fair,,49,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
Procession Rocks,AK Map 63 Site 1,-148.2836,60.00689,,2000,7,14,2000,7,14,,By boat 50-100 m offshore.,"Molly Housman, Jon Nickles, Robert Suryan",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Breeding,Good,,16,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Pt. 4 Mi. Sw Of Miners Pt.,AK Map 34 Site 72,-153.8086,57.86863,,1976,8,10,1976,8,10,,,"Matthew Dick, Jay Nelson",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Breeding,Fair,2,,2x census data value,FALSE,,,,,,,,,,,,,,,
Pt. 4 Mi. Sw Of Miners Pt.,AK Map 34 Site 72,-153.8086,57.86863,,2002,6,14,2002,6,14,,"Colony not active, no birds observed.",Karen Brenneman,,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Unspecified,Fair,,0,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Puale Bay,AK Map 35 Site 13,-155.61418,57.75518,,1976,7,29,1976,7,29,,,"Edgar Bailey, Ted Shad",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Unspecified,Unknown,,2400,,FALSE,,,,,,,,,,,,,,,
Puale Bay,AK Map 35 Site 13,-155.61418,57.75518,,1981,7,1,1981,7,22,,"Portage Bay to Kamishak Bay census period July 1-22, 1981.","Edgar Bailey, Nina Faust",,"Bailey, E.P. and N.H. Faust. 1984. Distribution and abundance of marine birds breeding between Amber and Kamishak Bays, Alaska, with notes on interactions with bears",Tufted Puffin,Unspecified,Breeding,Fair,100,,2x census data value,FALSE,Minimal indice.,,,,,,,,,,,,,,
Puale Bay,AK Map 35 Site 13,-155.61418,57.75518,,1990,7,25,1990,8,2,,"Census dates 7/25 and 8/2, 1990.","V. Cassily, Donna Dewherst <donna_dewherst@fws.gov>, Chris Dippel, C. Marzicola, Lynn Schwartz, Chris Simoniello, Gregory Thomson <greg_thomson@fws.gov>",,"Dewhurst, D.A.. 1991. Populations and productivity of seabirds on the Pacific Coast of Becharof National Wildlife Refuge, Alaska 1989 and 1990, U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files",Tufted Puffin,Present,Breeding,Fair,,14,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Puale Bay,AK Map 35 Site 13,-155.61418,57.75518,,1991,8,8,1991,8,8,,,"Toby Burke, Donna Dewherst <donna_dewherst@fws.gov>, Chris Dippel, Jim McCarthy, David Nysewander",,"Dewhurst, D.A. and M.P. Moore. 1992. Populations and productivity of seabirds on the Pacific Coast of Becharof National Wildlife Refuge, Alaska in 1991, U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files",Tufted Puffin,Present,Breeding,Fair,,69,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Puale Bay,AK Map 35 Site 13,-155.61418,57.75518,,1992,,1,1992,,,,"Census dates 8/01 and 8/13, 1992.","Donna Dewherst <donna_dewherst@fws.gov>, Nikki Benjamin, Kevin Boden, Jim McCarthy",USFWS,"McCarthy, J.H. and D.A. Dewhurst. 1993. Populations and productivity of seabirds on the Pacific Coast of Becharof National Wildlife Refuge, Alaska Peninsula, Alaska, 1992, U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files",Tufted Puffin,Present,Breeding,Fair,,15,"Observer's data were ""Greater than N"" or ""At least N"".  Catalog data are N.",FALSE,Minimum count.,,,,,,,,,,,,,,
Puale Bay,AK Map 35 Site 13,-155.61418,57.75518,,1999,7,21,1999,7,21,,,"Susan Savage <susan_savage@fws.gov>, Robert Blush, Melanie Spies",USFWS,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Breeding,Fair,,11,"Observer's data were ""Greater than N"" or ""At least N"".  Catalog data are N.",FALSE,Minimum count.,,,,,,,,,,,,,,
Puale Bay,AK Map 35 Site 13,-155.61418,57.75518,,2001,8,1,2001,8,8,,Five Censuses over the course of one week.,"Susan Savage <susan_savage@fws.gov>, J.Doster, J.Kohen",USFWS,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Breeding,Good,,25,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Puale Bay,AK Map 35 Site 13,-155.61418,57.75518,,2001,7,30,2001,8,5,0900 - 1800 (max duration),,"Robb Kaler <rsakaler@yahoo.com>, Adrienne Leppold <quasarAJL@gmail.com>, Susan Savage <susan_savage@fws.gov>",USFWS,"Kaler R.;  Savage, S.; Leppold, A.. March 2003. Populations and Productivity of Seabirds on the Pacific Coast of Becharof National Wildlife Refuge, Alaska Peninsula, Alaska, June - September 2002",Tufted Puffin,Unspecified,Breeding,Excellent,,26,Literal (equal to census data value),TRUE,The paper makes no reference to looking for or finding tufted puffins in the North Main or Red-faced Cormorant sections of Puale Bay.  All birds are referenced as having been found in the Main Colony.,,,,,,,,,,,,,,
Puale Bay,AK Map 35 Site 13,-155.61418,57.75518,,2002,7,26,2002,7,26,0900 - 1800 (max duration),,"Susan Savage <susan_savage@fws.gov>, Robb Kaler <rsakaler@yahoo.com>, Adrienne Leppold <quasarAJL@gmail.com>",USFWS,"Kaler R.;  Savage, S.; Leppold, A.. March 2003. Populations and Productivity of Seabirds on the Pacific Coast of Becharof National Wildlife Refuge, Alaska Peninsula, Alaska, June - September 2002",Tufted Puffin,Unspecified,Breeding,Excellent,,12,Literal (equal to census data value),FALSE,The paper makes no reference to looking for or finding tufted puffins in the North Main or Red-faced Cormorant sections of Puale Bay.  All birds are referenced as having been found in the Main Colony.,,,,,,,,,,,,,,
Puale Bay,AK Map 35 Site 13,-155.61418,57.75518,,2002,7,26,2002,7,26,,,"Susan Savage <susan_savage@fws.gov>, Corey Adler, S. Howard, B. Meixell",USFWS,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Breeding,Good,,12,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
Puale Bay Rocks,AK Map 35 Site 12,-155.41248,57.68419,Also named Kekurnoi Islets.,1957,,,1957,,,,,Calvin Lensink,,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Unspecified,Unknown,,,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Puale Bay Rocks,AK Map 35 Site 12,-155.41248,57.68419,Also named Kekurnoi Islets.,1973,6,2,1973,6,2,,,Leroy Sowl,,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Unspecified,Poor,,10000,,FALSE,,,,,,,,,,,,,,,
Puale Bay Rocks,AK Map 35 Site 12,-155.41248,57.68419,Also named Kekurnoi Islets.,1981,7,1,1981,7,22,,"Portage Bay to Kamishak Bay census period July 1-22, 1981.","Edgar Bailey, Nina Faust",,"Bailey, E.P. and N.H. Faust. 1984. Distribution and abundance of marine birds breeding between Amber and Kamishak Bays, Alaska, with notes on interactions with bears",Tufted Puffin,Unspecified,Breeding,Fair,100,,2x census data value,FALSE,Minimal indice.,,,,,,,,,,,,,,
Puale Bay Rocks,AK Map 35 Site 12,-155.41248,57.68419,Also named Kekurnoi Islets.,1990,8,2,1990,8,2,,,"Donna Dewherst <donna_dewherst@fws.gov>, Chris Dippel, Chris Simoniello",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Fair,,120,"Observer's data were ""Greater than N"" or ""At least N"".  Catalog data are N.",FALSE,Minimum estimate.,,,,,,,,,,,,,,
Puale Bay Rocks,AK Map 35 Site 12,-155.41248,57.68419,Also named Kekurnoi Islets.,1995,5,20,1995,5,20,,,"Donna Dewherst <donna_dewherst@fws.gov>, Heather Moore",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Unspecified,Fair,,200,"Observer's data were ""Greater than N"" or ""At least N"".  Catalog data are N.",TRUE,Minimum estimate of birds on water.,,,,,,,,,,,,,,
Puale Bay Rocks,AK Map 35 Site 12,-155.41248,57.68419,Also named Kekurnoi Islets.,1999,7,21,1999,7,21,,"Surveyed at 100-300 m. Partial count, did not circle all rocks/islands.","Susan Savage <susan_savage@fws.gov>, Robert Blush, Melanie Spies",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Unspecified,Poor,,21,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Puffin Island,AK Map 34 Site 22,-152.43251,57.75469,,1972,,,1972,,,,,Vernon Berns,,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Poor,,,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Puffin Island,AK Map 34 Site 22,-152.43251,57.75469,,1975,7,5,1975,7,5,,,"Matthew Dick, Richard MacIntosh",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Fair,660,,2x census data value,FALSE,Burrows observed.,,,,,,,,,,,,,,
Puffin Island,AK Map 34 Site 49,-153.35671,57.00579,,1976,6,30,1976,6,30,,,"Patrick Gould, Gerald Sanger",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding and Roosting,Fair,,10000,Literal (equal to census data value),FALSE,"Estimate, not actual count.",,,,,,,,,,,,,,
Puffin Island,AK Map 114 Site 2,-161.85748,66.2292,,1977,8,14,1977,8,14,,,"Tony DeGange <tdegange@usgs.gov>, Arthur Sowls",,"DeGange, A.R. and A.L. Sowls. 1978. A survey of the Chamisso Island National Wildlife Refuge, 11-14 August, 1977",Tufted Puffin,Unspecified,Breeding,Unknown,,8,,FALSE,,,,,,,,,,,,,,,
Puffin Island,AK Map 24 Site 18,-165.52218,54.13969,,1980,6,15,1980,6,15,,,"Douglas Forsell, Jeffery Kogan, David Nysewander, Donald Shields",,"Nysewander, D.R., D.J. Forsell, P.A. Baird, D.J. Shields, G.J. Weiler, and J.H. Kogan. 1982. Marine bird and mammal survey of the eastern Aleutian Islands, summers of 1980-81",Tufted Puffin,Unspecified,Breeding,Good,35374,,2x census data value,TRUE,Estimate based on 65% assumed burrow occupied.,,,,,,,,,,,,,,
Puffin Island,AK Map 114 Site 2,-161.85748,66.2292,,1981,8,,1981,8,,,,"Jay Nelson, Arthur Sowls",,"Nelson, J.W. and A.L. Sowls. 1985. Breeding seabird survey of Chamisso Island and southern Kotzebue Sound, 8-20 August 1981",Tufted Puffin,Unspecified,Breeding,Fair,10,,2x census data value,TRUE,"Counted 5 birds, estimated nest number.",,,,,,,,,,,,,,
Puffin Island,AK Map 11 Site 11,-135.99868,58.72767,,1982,5,22,1982,5,22,,,"Steven Caine, Jay Nelson",,"Nelson, J.W. and W.A. Lehnhausen. 1983. Marine bird and mammal survey of the outer coast of southeast Alaska, summer 1982",Tufted Puffin,Present,Breeding and Roosting,Fair,,3,"Observer's data were ""Greater than N"" or ""At least N"".  Catalog data are N.",FALSE,,,,,,,,,,,,,,,
Puffin Island,AK Map 34 Site 22,-152.43251,57.75469,,1989,8,12,1989,8,12,,,Richard MacIntosh,,"MacIntosh, R.. 1989. Survey of seabird colonies in inner Chiniak Bay, August, 1989",Tufted Puffin,Unspecified,Breeding,Fair,,75,Literal (equal to census data value),FALSE,"Estimate, not exact count.",,,,,,,,,,,,,,
Puffin Island,AK Map 34 Site 22,-152.43251,57.75469,,1990,6,27,1990,6,27,,,Richard MacIntosh,,"MacIntosh, R.R.. 1990. Survey of seabird colonies in Chiniak Bay, Kodiak Island, Alaska June - August, 1990",Tufted Puffin,Unspecified,Breeding,Fair,,300,3x census data value,FALSE,Observed 100's.,,,,,,,,,,,,,,
Puffin Island,AK Map 11 Site 11,-135.99868,58.72767,,1994,6,14,1994,6,14,,,"Laurie Fairchild, Steve Kendall, Marc Romano",,"Seiser, P.E., and S.J. Kendall. 1994. Southeast Alaska marine bird and mammal survey, 1994 summer colony reports",Tufted Puffin,Present,Unspecified,Fair,,,,TRUE,"Not mentioned by observer, but 3 in 1982.",,,,,,,,,,,,,,
Puffin Island,AK Map 34 Site 49,-153.35671,57.00579,,2001,6,21,2001,6,21,,,"Rebecca Howard, Shawn Stephensen, Dennis Zwiefelhofer",,"Stephensen, S.W., D.C. Zwiefelhofer, R.J. Howard. 2002. Seabird colony survey of south and east Kodiak Island, Alaska, June 2001",Tufted Puffin,Present,Breeding,Fair,,230,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
Puffin Island,AK Map 24 Site 18,-165.52218,54.13969,,2001,6,20,2001,6,20,1430,"Sunny, NW wind @ 25 knot","G Byrd <vernon_byrd@fws.gov>, Arthur Kettle <arthur_kettle@fws.gov>, Dave Roseneau <dave_roseneau@fws.gov>, Jeffrey Williams <Jeff_Williams@fws.gov>, Kevin Winker",USFWS AMNWR,"Byrd, V.. June 2001. Wildlife Observations at Sites in the Krenitzin Islands on June 20, 2001 (Unpublished Report)",Tufted Puffin,Abundant,Unspecified,Fair,,3000,Literal (equal to approximate census data value),TRUE,,,,,,,,,,,,,,,
Puffin Island,AK Map 34 Site 22,-152.43251,57.75469,,2001,6,16,2001,6,16,,,"Rebecca Howard, Shawn Stephensen",,"Stephensen, S.W., D.C. Zwiefelhofer, R.J. Howard. 2002. Seabird colony survey of south and east Kodiak Island, Alaska, June 2001",Tufted Puffin,Present,Breeding,Fair,,141,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
Punuk Islands,AK Map 93 Site 10,-168.81998,63.0761,Punuk Is. best data are under #'s 026; 027; + 028.,,,,,,,,,Francis Fay,,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Unknown,,,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
Pustoi Island,AK Map 23 Site 23,-167.82359,53.39719,,1978,7,20,1978,7,20,,Estimates include Pustoi Island and Ship Rock combined.,L. Mangan,,"Mangan, L.. 1978. Unalaska Trip 17 July 1978",Tufted Puffin,Unspecified,Breeding and Roosting,Poor,,9000,"Observer provided a range (e.g. ""100 to 250"").  Catalog data are midpoint of range.",FALSE,"8,000-10,000 birds estimated.",,,,,,,,,,,,,,
Pustoi Island,AK Map 23 Site 23,-167.82359,53.39719,,1980,7,19,1980,7,19,,,"Douglas Forsell, Jeffery Kogan, David Nysewander, Donald Shields",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Fair,14140,,Literal (equal to census data value),TRUE,Tufted puffin estimate based on 65% assumed occupied.,,,,,,,,,,,,,,
Pyramid Island,AK Map 15 Site 5,178.31502,51.96557,,1972,7,,1972,7,,,,"G Byrd <vernon_byrd@fws.gov>, Daniel Gibson, Palmer Sekora, Clayton White",,"Sekora, P.. 1973. Aleutian Islands National Wildlife Refuge wilderness study report",Tufted Puffin,Unspecified,Breeding,Fair,,1500,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Pyramid Island,AK Map 15 Site 5,178.31502,51.96557,,1976,7,1,1976,7,1,,,"Elaine Rhode, John Trapp",,"Trapp, J.L.. 1976. Report on a brief biological survey of Davidof, Khvostof, and Little Kiska Islands: 1-2 July 1976",Tufted Puffin,Rare,Breeding,Unknown,,,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Pyramid Island,AK Map 15 Site 5,178.31502,51.96557,,1979,7,24,1979,7,24,,,"Jonathan Beall, Tom Early, Bill Henry, Andrew Taber",,"Early, T.J.. 1980. Results of bird and mammal surveys of the western Aleutians, summer 1979",Tufted Puffin,Unspecified,Breeding,Fair,900,,2x census data value,TRUE,,,,,,,,,,,,,,,
Queer Island,AK Map 34 Site 17,-152.3792,57.67809,,1975,8,6,1975,8,6,,,"Matthew Dick, Irving Warner",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Fair,,1300,,FALSE,,,,,,,,,,,,,,,
Queer Island,AK Map 34 Site 17,-152.3792,57.67809,,1990,8,21,1990,8,21,,,Richard MacIntosh,,"MacIntosh, R.R.. 1990. Survey of seabird colonies in Chiniak Bay, Kodiak Island, Alaska June - August, 1990",Tufted Puffin,Unspecified,Breeding,Poor,,,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Queer Island,AK Map 34 Site 17,-152.3792,57.67809,,1994,6,6,1994,6,6,,,"David Duffy, Toby Sanborn, Judy Sherburne",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Unspecified,Poor,,,Literal (equal to census data value),TRUE,"Many on water, some on land.",,,,,,,,,,,,,,
"Quest, Storey Island",AK Map 63 Site 113,-147.39,60.72917,,1993,6,11,1993,6,11,,Special PIGU Survey.  Censused during peak colony attendance indicated by courtship displays and site-attachment behavior.  1993 Field No 03026.,"Gerald Sanger, Elizabeth Tichenor",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Unspecified,Poor,,,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
Rat Island,AK Map 15 Site 2,178.2970506,51.80199912,,1982,7,1,1982,7,1,,,"Chris Ambroz, Fredrick Deines, Don Dragoo <Don_Dragoo@fws.gov>",,"Dragoo, D. and F. Deines. 1983. Results of a bird and mammal survey in the west-central Aleutians, summer 1982",Tufted Puffin,Unspecified,Breeding,Fair,210,,2x census data value,TRUE,Pair # = (indiv x 5) ÷ 2.,,,,,,,,,,,,,,
Rat Island,AK Map 15 Site 2,178.2970506,51.80199912,,2004,8,1,2004,8,2,"portion of evening on August  1st, 1600-2030 on August  2nd","Fog hampered survey evening of August 1st, lifted at 1600 on August 2nd.  Birds viewed 50-75 meters from beach, but occasionally 100 meters due to kelp.",,,"Byrd, G. V.; Williams, J.C.; Trimble, J.. August 2004. Cormorant Observations in the Rat Islands, Aleutian Islands, Alaska, in 2004, with Notes on Other Species",Tufted Puffin,Unspecified,Unspecified,Good,,158,Literal (equal to census data value),TRUE,These birds were counted in association with the counting of cormorants.  Tufted puffins were not the focus of the investigators.,,,,,,,,,,,,,,
Redfox Bay Islands,AK Map 43 Site 92,-152.5917,58.47098,,1976,7,16,1976,7,16,,,"Matthew Dick, Jay Nelson",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Unknown,,40,,FALSE,,,,,,,,,,,,,,,
Redfox Bay Islands,AK Map 43 Site 92,-152.5917,58.47098,,1992,6,24,1992,6,24,,1992 field #43.,"Brian Fadely, Janey Fadely, Bonnie Grey",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Breeding,Fair,,29,Literal (equal to census data value),TRUE,6/4/92: 19 birds.,,,,,,,,,,,,,,
Reef 2,AK Map 34 Site 21,-152.8631,57.76419,,1975,8,14,1975,8,14,,,Matthew Dick,,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Fair,400,,2x census data value,FALSE,,,,,,,,,,,,,,,
Reef 2,AK Map 34 Site 21,-152.8631,57.76419,,2002,6,23,2002,6,23,,,"Leslie Slater, Shawn Stephensen, Dennis Zwiefelhofer",,"Stephensen, S.W., D.C. Zwiefelhofer, and L. Slater. 2003. Seabird colony survey of north and west Kodiak Island, Alaska, June 2002",Tufted Puffin,Present,Breeding,Fair,,10,Literal (equal to census data value),TRUE,Count of birds on water and flying.,,,,,,,,,,,,,,
Ren Triangle,AK Map 43 Site 57,-152.36011,58.42404,,1976,7,23,1976,7,23,,,"Matthew Dick, Jay Nelson",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Unknown,,30,,FALSE,,,,,,,,,,,,,,,
Ren Triangle,AK Map 43 Site 57,-152.36011,58.42404,,1992,6,7,1992,6,7,,1992 field #61.,"Mary Cody, Janey Fadely, Bonnie Grey",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Unspecified,Fair,,,,TRUE,"Not mentioned by observer, but 30 in 1976.",,,,,,,,,,,,,,
Rex Point,AK Map 113 Site 2,-163.33078,66.08559,Originally thought to be at Sullivan Bluffs by mistake.,1972,,,1972,,,,,"James Bartonek, James King",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Unspecified,Poor,,,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
Rock Island,AK Map 25 Site 24,-163.62969,54.61219,,1973,6,24,1973,6,24,,,G Byrd <vernon_byrd@fws.gov>,,"Byrd, G.V.. 1973. Expedition to Bogoslof and Amak Islands with notes on other eastern Aleutian Islands: June 24- July 8, 1973",Tufted Puffin,Unspecified,Unspecified,Fair,,50,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
Rocky Bay Island,AK Map 50 Site 15,-151.39921,59.23109,,1976,6,19,1976,7,14,,Entire census conducted 19 June to 14 July 1976.,Edgar Bailey,,"Bailey, E.P.. 1976. Breeding seabird distribution and abundance along the south side of the Kenai Peninsula, Alaska",Tufted Puffin,Unspecified,Breeding,Poor,1600,,2x census data value,TRUE,,,,,,,,,,,,,,,
Rocky Cove,AK Map 51 Site 14,-153.7036,59.46969,,1978,,,1978,,,,,Paul Arneson,,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding and Roosting,Fair,,6,Literal (equal to census data value),TRUE,Counted 3 birds. Observer adjusted for better estimate.,,,,,,,,,,,,,,
Rocky Point,AK Map 95 Site 8,-163.18419,64.41029,,1976,7,10,1976,7,10,,,William Drury,,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Unspecified,Fair,,4,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
Rona Islands,AK Map 25 Site 19,-161.835,54.98279,,1973,6,16,1973,6,16,,,"Edgar Bailey, George Divoky, Leroy Sowl",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Unspecified,Poor,,6000,,FALSE,,,,,,,,,,,,,,,
Rona Islands,AK Map 25 Site 19,-161.835,54.98279,,1978,,,1978,,,,,"Edgar Bailey, Nina Faust",,"Bailey, E.P. and N.H. Faust. 1980. Summer distribution and abundance of marine birds and mammals in the Sandman Reefs, Alaska",Tufted Puffin,Unspecified,Breeding,Fair,15000,,2x census data value,TRUE,,,,,,,,,,,,,,,
Rootok Island,AK Map 24 Site 1,-165.52889,54.04279,,1972,,,1972,,,,,Palmer Sekora,,"Sekora, P.. 1973. Aleutian Islands National Wildlife Refuge wilderness study report",Tufted Puffin,Unspecified,Breeding and Roosting,Poor,,100000,,TRUE,Probably not from Rootok I. - Sekora est. based on birds on water.,,,,,,,,,,,,,,
Rose Island,AK Map 25 Site 12,-161.85859,54.88669,,1973,6,17,1973,6,17,,,"Edgar Bailey, George Divoky, Leroy Sowl",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Unspecified,Poor,,,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Rose Island,AK Map 25 Site 12,-161.85859,54.88669,,1978,,,1978,,,,,"Edgar Bailey, Nina Faust",,"Bailey, E.P. and N.H. Faust. 1980. Summer distribution and abundance of marine birds and mammals in the Sandman Reefs, Alaska",Tufted Puffin,Unspecified,Breeding,Fair,350,,2x census data value,TRUE,,,,,,,,,,,,,,,
Round Island,AK Map 28 Site 27,-160.6187,55.34163,,1973,6,9,1973,6,9,,,"Edgar Bailey, George Divoky, Leroy Sowl",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Unspecified,Poor,,4000,,FALSE,,,,,,,,,,,,,,,
Round Island,AK Map 28 Site 38,-161.59999,55.54639,,1973,6,16,1973,6,16,,,"Edgar Bailey, George Divoky, Leroy Sowl",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Unspecified,Poor,,,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Round Island,AK Map 40 Site 1,-159.97051,58.60609,,1974,7,,1974,7,,,,Thomas Eley,,"Eley, T.J.. 1974. The birds of Round Island, Alaska",Tufted Puffin,Unspecified,Breeding,Poor,,,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Round Island,AK Map 40 Site 1,-159.97051,58.60609,,1977,7,,1977,7,,,44% of west and 70% of east sides of island censused,"Paul Arneson, David Mcdonald",,"Arneson, P.D.. 1977. Identification, documentation and delineation of coastal migratory bird habitat in Alaska",Tufted Puffin,Unspecified,Unspecified,Fair,,400,Literal (equal to census data value),FALSE,143 counted,,,,,,,,,,,,,,
